year,country,country_code,electricity_generation
2010,Canada,CAN,607.03
2011,Canada,CAN,638.27
2012,Canada,CAN,636.54
2013,Canada,CAN,655.69
2014,Canada,CAN,652.97
2015,Canada,CAN,661.08
2016,Canada,CAN,667.13
2017,Canada,CAN,669.35
2018,Canada,CAN,661.2
2019,Canada,CAN,655.7
2020,Canada,CAN,655.89
2021,Canada,CAN,652.4
2022,Canada,CAN,664.08
2023,Canada,CAN,641.39
2024,Canada,CAN,636.79
2010,France,FRA,562.36
2011,France,FRA,567.65
2012,France,FRA,567.58
2013,France,FRA,576.75
2014,France,FRA,566.31
2015,France,FRA,574.14
2016,France,FRA,558.84
2017,France,FRA,555.74
2018,France,FRA,576.24
2019,France,FRA,565.52
2020,France,FRA,527.25
2021,France,FRA,550.31
2022,France,FRA,468.45
2023,France,FRA,518.75
2024,France,FRA,561.78
2010,Germany,DEU,624.21
2011,Germany,DEU,605.0
2012,Germany,DEU,619.81
2013,Germany,DEU,629.69
2014,Germany,DEU,618.75
2015,Germany,DEU,639.17
2016,Germany,DEU,641.52
2017,Germany,DEU,644.46
2018,Germany,DEU,632.28
2019,Germany,DEU,600.09
2020,Germany,DEU,566.75
2021,Germany,DEU,578.83
2022,Germany,DEU,566.88
2023,Germany,DEU,506.72
2024,Germany,DEU,495.99
2010,Japan,JPN,1156.04
2011,Japan,JPN,1104.2
2012,Japan,JPN,1106.88
2013,Japan,JPN,1087.76
2014,Japan,JPN,1062.72
2015,Japan,JPN,1030.12
2016,Japan,JPN,1063.7
2017,Japan,JPN,1076.86
2018,Japan,JPN,1082.93
2019,Japan,JPN,1047.4
2020,Japan,JPN,1011.03
2021,Japan,JPN,1034.67
2022,Japan,JPN,1040.57
2023,Japan,JPN,1006.73
2024,Japan,JPN,1016.39
2010,New Zealand,NZL,44.31
2011,New Zealand,NZL,43.86
2012,New Zealand,NZL,43.75
2013,New Zealand,NZL,42.7
2014,New Zealand,NZL,42.92
2015,New Zealand,NZL,43.57
2016,New Zealand,NZL,43.15
2017,New Zealand,NZL,43.66
2018,New Zealand,NZL,43.73
2019,New Zealand,NZL,43.75
2020,New Zealand,NZL,43.35
2021,New Zealand,NZL,43.55
2022,New Zealand,NZL,43.25
2023,New Zealand,NZL,42.89
2024,New Zealand,NZL,44.01
2010,United Kingdom,GBR,382.06
2011,United Kingdom,GBR,367.97
2012,United Kingdom,GBR,363.87
2013,United Kingdom,GBR,358.28
2014,United Kingdom,GBR,338.08
2015,United Kingdom,GBR,338.87
2016,United Kingdom,GBR,339.18
2017,United Kingdom,GBR,338.22
2018,United Kingdom,GBR,333.76
2019,United Kingdom,GBR,327.19
2020,United Kingdom,GBR,310.3
2021,United Kingdom,GBR,307.9
2022,United Kingdom,GBR,324.58
2023,United Kingdom,GBR,292.53
2024,United Kingdom,GBR,284.16
2010,United States,USA,4113.94
2011,United States,USA,4088.87
2012,United States,USA,4040.67
2013,United States,USA,4055.61
2014,United States,USA,4096.01
2015,United States,USA,4083.99
2016,United States,USA,4087.56
2017,United States,USA,4052.31
2018,United States,USA,4201.55
2019,United States,USA,4158.38
2020,United States,USA,4043.18
2021,United States,USA,4153.62
2022,United States,USA,4286.89
2023,United States,USA,4253.91
2024,United States,USA,4391.02
