date,cu_pct,country,country_code
2017-01-01,79.6,Canada,CAN
2017-02-01,79.2,Canada,CAN
2017-03-01,80.5,Canada,CAN
2017-04-01,78.8,Canada,CAN
2017-05-01,80.1,Canada,CAN
2017-06-01,79.7,Canada,CAN
2017-07-01,76.8,Canada,CAN
2017-08-01,80.2,Canada,CAN
2017-09-01,80.7,Canada,CAN
2017-10-01,81.1,Canada,CAN
2017-11-01,82.2,Canada,CAN
2017-12-01,81.5,Canada,CAN
2018-01-01,82.3,Canada,CAN
2018-02-01,82.6,Canada,CAN
2018-03-01,83.7,Canada,CAN
2018-04-01,82.9,Canada,CAN
2018-05-01,83.1,Canada,CAN
2018-06-01,82.6,Canada,CAN
2018-07-01,80.3,Canada,CAN
2018-08-01,81.7,Canada,CAN
2018-09-01,81.1,Canada,CAN
2018-10-01,81.8,Canada,CAN
2018-11-01,81.3,Canada,CAN
2018-12-01,77.8,Canada,CAN
2019-01-01,78.8,Canada,CAN
2019-02-01,78.1,Canada,CAN
2019-03-01,81.3,Canada,CAN
2019-04-01,79.4,Canada,CAN
2019-05-01,82.0,Canada,CAN
2019-06-01,81.2,Canada,CAN
2019-07-01,77.5,Canada,CAN
2019-08-01,79.6,Canada,CAN
2019-09-01,79.4,Canada,CAN
2019-10-01,80.6,Canada,CAN
2019-11-01,79.9,Canada,CAN
2019-12-01,77.0,Canada,CAN
2020-01-01,76.9,Canada,CAN
2020-02-01,76.8,Canada,CAN
2020-03-01,72.1,Canada,CAN
2020-04-01,54.6,Canada,CAN
2020-05-01,63.3,Canada,CAN
2020-06-01,74.3,Canada,CAN
2020-07-01,74.3,Canada,CAN
2020-08-01,76.2,Canada,CAN
2020-09-01,77.8,Canada,CAN
2020-10-01,78.1,Canada,CAN
2020-11-01,77.9,Canada,CAN
2020-12-01,76.0,Canada,CAN
2021-01-01,76.2,Canada,CAN
2021-02-01,74.8,Canada,CAN
2021-03-01,79.7,Canada,CAN
2021-04-01,77.2,Canada,CAN
2021-05-01,77.3,Canada,CAN
2021-06-01,78.9,Canada,CAN
2021-07-01,75.9,Canada,CAN
2021-08-01,76.9,Canada,CAN
2021-09-01,74.6,Canada,CAN
2021-10-01,76.6,Canada,CAN
2021-11-01,77.9,Canada,CAN
2021-12-01,75.5,Canada,CAN
2022-01-01,74.0,Canada,CAN
2022-02-01,76.8,Canada,CAN
2022-03-01,82.1,Canada,CAN
2022-04-01,79.2,Canada,CAN
2022-05-01,78.5,Canada,CAN
2022-06-01,79.9,Canada,CAN
2022-07-01,76.9,Canada,CAN
2022-08-01,78.0,Canada,CAN
2022-09-01,77.9,Canada,CAN
2022-10-01,78.1,Canada,CAN
2022-11-01,78.9,Canada,CAN
2022-12-01,75.7,Canada,CAN
2023-01-01,78.2,Canada,CAN
2023-02-01,76.9,Canada,CAN
2023-03-01,80.3,Canada,CAN
2023-04-01,77.4,Canada,CAN
2023-05-01,80.3,Canada,CAN
2023-06-01,80.2,Canada,CAN
2023-07-01,77.4,Canada,CAN
2023-08-01,79.8,Canada,CAN
2023-09-01,78.2,Canada,CAN
2023-10-01,77.5,Canada,CAN
2023-11-01,79.3,Canada,CAN
2023-12-01,74.8,Canada,CAN
2024-01-01,77.1,Canada,CAN
2024-02-01,78.5,Canada,CAN
2024-03-01,78.4,Canada,CAN
2024-04-01,78.0,Canada,CAN
2024-05-01,79.8,Canada,CAN
2024-06-01,80.0,Canada,CAN
2024-07-01,78.3,Canada,CAN
2024-08-01,78.7,Canada,CAN
2024-09-01,78.5,Canada,CAN
2024-10-01,80.5,Canada,CAN
2024-11-01,79.9,Canada,CAN
2024-12-01,75.6,Canada,CAN
